,Job,com_cluster_queue,sto_cluster_queue,network_queue,Cut,Arrival_Time,Net_1_join,Net_1_start,Net_end,End_Time
0,0,0.0,0.0,0,3,0,2.5084396099024757,2.5084396099024757,5.016880926471582,5.016880926471582
1,1,0.0,0.0,0,3,100000,100002.5084396099,100002.5084396099,100005.01688092528,100005.01688092528
2,2,0.0,0.0,0,3,200000,200002.5084396099,200002.5084396099,200005.01688092528,200005.01688092528
3,3,0.0,0.0,0,3,300000,300002.5084396099,300002.5084396099,300005.0168809311,300005.0168809311
4,4,0.0,0.0,0,3,400000,400002.5084396099,400002.5084396099,400005.0168809311,400005.0168809311
5,5,0.0,0.0,0,3,500000,500002.5084396099,500002.5084396099,500005.0168809311,500005.0168809311
6,6,0.0,0.0,0,3,600000,600002.5084396099,600002.5084396099,600005.0168809195,600005.0168809195
7,7,0.0,0.0,0,3,700000,700002.5084396099,700002.5084396099,700005.0168809195,700005.0168809195
8,8,0.0,0.0,0,3,800000,800002.5084396099,800002.5084396099,800005.0168809195,800005.0168809195
9,9,0.0,0.0,0,3,900000,900002.5084396099,900002.5084396099,900005.0168809195,900005.0168809195
10,10,0.0,0.0,0,3,1000000,1000002.5084396099,1000002.5084396099,1000005.0168809195,1000005.0168809195
11,11,0.0,0.0,0,3,1100000,1100002.50843961,1100002.50843961,1100005.016880943,1100005.016880943
12,12,0.0,0.0,0,3,1200000,1200002.50843961,1200002.50843961,1200005.016880943,1200005.016880943
13,13,0.0,0.0,0,3,1300000,1300002.50843961,1300002.50843961,1300005.016880943,1300005.016880943
14,14,0.0,0.0,0,3,1400000,1400002.50843961,1400002.50843961,1400005.016880943,1400005.016880943
15,15,0.0,0.0,0,3,1500000,1500002.50843961,1500002.50843961,1500005.016880943,1500005.016880943
16,16,0.0,0.0,0,3,1600000,1600002.50843961,1600002.50843961,1600005.016880943,1600005.016880943
17,17,0.0,0.0,0,3,1700000,1700002.50843961,1700002.50843961,1700005.016880943,1700005.016880943
18,18,0.0,0.0,0,3,1800000,1800002.50843961,1800002.50843961,1800005.016880943,1800005.016880943
19,19,0.0,0.0,0,3,1900000,1900002.50843961,1900002.50843961,1900005.016880943,1900005.016880943
20,20,0.0,0.0,0,3,2000000,2000002.50843961,2000002.50843961,2000005.016880943,2000005.016880943
21,21,0.0,0.0,0,3,2100000,2100002.50843961,2100002.50843961,2100005.016880896,2100005.016880896
22,22,0.0,0.0,0,3,2200000,2200002.50843961,2200002.50843961,2200005.016880896,2200005.016880896
23,23,0.0,0.0,0,3,2300000,2300002.50843961,2300002.50843961,2300005.016880896,2300005.016880896
24,24,0.0,0.0,0,3,2400000,2400002.50843961,2400002.50843961,2400005.016880896,2400005.016880896
25,25,0.0,0.0,0,3,2500000,2500002.50843961,2500002.50843961,2500005.016880896,2500005.016880896
26,26,0.0,0.0,0,3,2600000,2600002.50843961,2600002.50843961,2600005.016880896,2600005.016880896
27,27,0.0,0.0,0,3,2700000,2700002.50843961,2700002.50843961,2700005.016880896,2700005.016880896
28,28,0.0,0.0,0,3,2800000,2800002.50843961,2800002.50843961,2800005.016880896,2800005.016880896
29,29,0.0,0.0,0,3,2900000,2900002.50843961,2900002.50843961,2900005.016880896,2900005.016880896
30,30,0.0,0.0,0,3,3000000,3000002.50843961,3000002.50843961,3000005.016880896,3000005.016880896
31,31,0.0,0.0,0,3,3100000,3100002.50843961,3100002.50843961,3100005.016880896,3100005.016880896
32,32,0.0,0.0,0,3,3200000,3200002.50843961,3200002.50843961,3200005.016880896,3200005.016880896
33,33,0.0,0.0,0,3,3300000,3300002.50843961,3300002.50843961,3300005.016880896,3300005.016880896
34,34,0.0,0.0,0,3,3400000,3400002.50843961,3400002.50843961,3400005.016880896,3400005.016880896
35,35,0.0,0.0,0,3,3500000,3500002.50843961,3500002.50843961,3500005.016880896,3500005.016880896
36,36,0.0,0.0,0,3,3600000,3600002.50843961,3600002.50843961,3600005.016880896,3600005.016880896
37,37,0.0,0.0,0,3,3700000,3700002.50843961,3700002.50843961,3700005.016880896,3700005.016880896
38,38,0.0,0.0,0,3,3800000,3800002.50843961,3800002.50843961,3800005.016880896,3800005.016880896
39,39,0.0,0.0,0,3,3900000,3900002.50843961,3900002.50843961,3900005.016880896,3900005.016880896
40,40,0.0,0.0,0,3,4000000,4000002.50843961,4000002.50843961,4000005.016880896,4000005.016880896
41,41,0.0,0.0,0,3,4100000,4100002.50843961,4100002.50843961,4100005.016880896,4100005.016880896
42,42,0.0,0.0,0,3,4200000,4200002.50843961,4200002.50843961,4200005.016880896,4200005.016880896
43,43,0.0,0.0,0,3,4300000,4300002.50843961,4300002.50843961,4300005.016880896,4300005.016880896
44,44,0.0,0.0,0,3,4400000,4400002.50843961,4400002.50843961,4400005.016880896,4400005.016880896
45,45,0.0,0.0,0,3,4500000,4500002.50843961,4500002.50843961,4500005.016880896,4500005.016880896
46,46,0.0,0.0,0,3,4600000,4600002.50843961,4600002.50843961,4600005.016880896,4600005.016880896
47,47,0.0,0.0,0,3,4700000,4700002.50843961,4700002.50843961,4700005.016880896,4700005.016880896
48,48,0.0,0.0,0,3,4800000,4800002.50843961,4800002.50843961,4800005.016880896,4800005.016880896
49,49,0.0,0.0,0,3,4900000,4900002.50843961,4900002.50843961,4900005.016880896,4900005.016880896
50,50,0.0,0.0,0,3,5000000,5000002.50843961,5000002.50843961,5000005.016880896,5000005.016880896
51,51,0.0,0.0,0,3,5100000,5100002.50843961,5100002.50843961,5100005.016880896,5100005.016880896
52,52,0.0,0.0,0,3,5200000,5200002.50843961,5200002.50843961,5200005.016880896,5200005.016880896
53,53,0.0,0.0,0,3,5300000,5300002.50843961,5300002.50843961,5300005.016880896,5300005.016880896
54,54,0.0,0.0,0,3,5400000,5400002.50843961,5400002.50843961,5400005.016880896,5400005.016880896
55,55,0.0,0.0,0,3,5500000,5500002.50843961,5500002.50843961,5500005.016880896,5500005.016880896
56,56,0.0,0.0,0,3,5600000,5600002.50843961,5600002.50843961,5600005.016880896,5600005.016880896
57,57,0.0,0.0,0,3,5700000,5700002.50843961,5700002.50843961,5700005.016880896,5700005.016880896
58,58,0.0,0.0,0,3,5800000,5800002.50843961,5800002.50843961,5800005.016880896,5800005.016880896
59,59,0.0,0.0,0,3,5900000,5900002.50843961,5900002.50843961,5900005.016880896,5900005.016880896
60,60,0.0,0.0,0,3,6000000,6000002.50843961,6000002.50843961,6000005.016880896,6000005.016880896
61,61,0.0,0.0,0,3,6100000,6100002.50843961,6100002.50843961,6100005.016880896,6100005.016880896
62,62,0.0,0.0,0,3,6200000,6200002.50843961,6200002.50843961,6200005.016880896,6200005.016880896
63,63,0.0,0.0,0,3,6300000,6300002.50843961,6300002.50843961,6300005.016880896,6300005.016880896
64,64,0.0,0.0,0,3,6400000,6400002.50843961,6400002.50843961,6400005.016880896,6400005.016880896
65,65,0.0,0.0,0,3,6500000,6500002.50843961,6500002.50843961,6500005.016880896,6500005.016880896
66,66,0.0,0.0,0,3,6600000,6600002.50843961,6600002.50843961,6600005.016880896,6600005.016880896
67,67,0.0,0.0,0,3,6700000,6700002.50843961,6700002.50843961,6700005.016880896,6700005.016880896
68,68,0.0,0.0,0,3,6800000,6800002.50843961,6800002.50843961,6800005.016880896,6800005.016880896
69,69,0.0,0.0,0,3,6900000,6900002.50843961,6900002.50843961,6900005.016880896,6900005.016880896
70,70,0.0,0.0,0,3,7000000,7000002.50843961,7000002.50843961,7000005.016880896,7000005.016880896
71,71,0.0,0.0,0,3,7100000,7100002.50843961,7100002.50843961,7100005.016880896,7100005.016880896
72,72,0.0,0.0,0,3,7200000,7200002.50843961,7200002.50843961,7200005.016880896,7200005.016880896
73,73,0.0,0.0,0,3,7300000,7300002.50843961,7300002.50843961,7300005.016880896,7300005.016880896
74,74,0.0,0.0,0,3,7400000,7400002.50843961,7400002.50843961,7400005.016880896,7400005.016880896
75,75,0.0,0.0,0,3,7500000,7500002.50843961,7500002.50843961,7500005.016880896,7500005.016880896
76,76,0.0,0.0,0,3,7600000,7600002.50843961,7600002.50843961,7600005.016880896,7600005.016880896
77,77,0.0,0.0,0,3,7700000,7700002.50843961,7700002.50843961,7700005.016880896,7700005.016880896
78,78,0.0,0.0,0,3,7800000,7800002.50843961,7800002.50843961,7800005.016880896,7800005.016880896
79,79,0.0,0.0,0,3,7900000,7900002.50843961,7900002.50843961,7900005.016880896,7900005.016880896
80,80,0.0,0.0,0,3,8000000,8000002.50843961,8000002.50843961,8000005.016880896,8000005.016880896
81,81,0.0,0.0,0,3,8100000,8100002.50843961,8100002.50843961,8100005.016880896,8100005.016880896
82,82,0.0,0.0,0,3,8200000,8200002.50843961,8200002.50843961,8200005.016880896,8200005.016880896
83,83,0.0,0.0,0,3,8300000,8300002.50843961,8300002.50843961,8300005.016880896,8300005.016880896
84,84,0.0,0.0,0,3,8400000,8400002.50843961,8400002.50843961,8400005.016881082,8400005.016881082
85,85,0.0,0.0,0,3,8500000,8500002.50843961,8500002.50843961,8500005.016881082,8500005.016881082
86,86,0.0,0.0,0,3,8600000,8600002.50843961,8600002.50843961,8600005.016881082,8600005.016881082
87,87,0.0,0.0,0,3,8700000,8700002.50843961,8700002.50843961,8700005.016881082,8700005.016881082
88,88,0.0,0.0,0,3,8800000,8800002.50843961,8800002.50843961,8800005.016881082,8800005.016881082
89,89,0.0,0.0,0,3,8900000,8900002.50843961,8900002.50843961,8900005.016881082,8900005.016881082
90,90,0.0,0.0,0,3,9000000,9000002.50843961,9000002.50843961,9000005.016881082,9000005.016881082
91,91,0.0,0.0,0,3,9100000,9100002.50843961,9100002.50843961,9100005.016881082,9100005.016881082
92,92,0.0,0.0,0,3,9200000,9200002.50843961,9200002.50843961,9200005.016881082,9200005.016881082
93,93,0.0,0.0,0,3,9300000,9300002.50843961,9300002.50843961,9300005.016881082,9300005.016881082
94,94,0.0,0.0,0,3,9400000,9400002.50843961,9400002.50843961,9400005.016881082,9400005.016881082
95,95,0.0,0.0,0,3,9500000,9500002.50843961,9500002.50843961,9500005.016881082,9500005.016881082
96,96,0.0,0.0,0,3,9600000,9600002.50843961,9600002.50843961,9600005.016881082,9600005.016881082
97,97,0.0,0.0,0,3,9700000,9700002.50843961,9700002.50843961,9700005.016881082,9700005.016881082
98,98,0.0,0.0,0,3,9800000,9800002.50843961,9800002.50843961,9800005.016881082,9800005.016881082
99,99,0.0,0.0,0,3,9900000,9900002.50843961,9900002.50843961,9900005.016881082,9900005.016881082
100,100,0.0,0.0,0,3,10000000,10000002.50843961,10000002.50843961,10000005.016881082,10000005.016881082
101,101,0.0,0.0,0,3,10100000,10100002.50843961,10100002.50843961,10100005.016881082,10100005.016881082
102,102,0.0,0.0,0,3,10200000,10200002.50843961,10200002.50843961,10200005.016881082,10200005.016881082
103,103,0.0,0.0,0,3,10300000,10300002.50843961,10300002.50843961,10300005.016881082,10300005.016881082
104,104,0.0,0.0,0,3,10400000,10400002.50843961,10400002.50843961,10400005.016881082,10400005.016881082
