,Job,com_cluster_queue,sto_cluster_queue,network_queue,Cut,Arrival_Time,Net_1_join,Net_1_start,Net_end,End_Time
0,0,0.0,0.0,0,2,0,2.3521505376344085,2.3521505376344085,2.403350537634371,2.5576715252886917
1,1,0.0,0.0,0,2,100000,100002.35215053764,100002.35215053764,100002.40335053751,100002.55767152517
2,2,0.0,0.0,0,2,200000,200002.35215053763,200002.35215053763,200002.4033505375,200002.55767152514
3,3,0.0,0.0,0,2,300000,300002.35215053766,300002.35215053766,300002.403350555,300002.5576715426
4,4,0.0,0.0,0,2,400000,400002.35215053766,400002.35215053766,400002.403350555,400002.5576715426
5,5,0.0,0.0,0,2,500000,500002.35215053766,500002.35215053766,500002.403350555,500002.5576715426
6,6,0.0,0.0,0,2,600000,600002.3521505377,600002.3521505377,600002.403350555,600002.5576715426
7,7,0.0,0.0,0,2,700000,700002.3521505377,700002.3521505377,700002.403350555,700002.5576715426
8,8,0.0,0.0,0,2,800000,800002.3521505377,800002.3521505377,800002.403350555,800002.5576715426
9,9,0.0,0.0,0,2,900000,900002.3521505377,900002.3521505377,900002.403350555,900002.5576715426
10,10,0.0,0.0,0,2,1000000,1000002.3521505377,1000002.3521505377,1000002.403350555,1000002.5576715426
11,11,0.0,0.0,0,2,1100000,1100002.3521505375,1100002.3521505375,1100002.4033505549,1100002.5576715425
12,12,0.0,0.0,0,2,1200000,1200002.3521505375,1200002.3521505375,1200002.4033505549,1200002.5576715425
13,13,0.0,0.0,0,2,1300000,1300002.3521505375,1300002.3521505375,1300002.4033505549,1300002.5576715425
14,14,0.0,0.0,0,2,1400000,1400002.3521505375,1400002.3521505375,1400002.4033505549,1400002.5576715425
15,15,0.0,0.0,0,2,1500000,1500002.3521505375,1500002.3521505375,1500002.4033505549,1500002.5576715425
16,16,0.0,0.0,0,2,1600000,1600002.3521505375,1600002.3521505375,1600002.4033505549,1600002.5576715425
17,17,0.0,0.0,0,2,1700000,1700002.3521505375,1700002.3521505375,1700002.4033505549,1700002.5576715425
18,18,0.0,0.0,0,2,1800000,1800002.3521505375,1800002.3521505375,1800002.4033505549,1800002.5576715425
19,19,0.0,0.0,0,2,1900000,1900002.3521505375,1900002.3521505375,1900002.4033505549,1900002.5576715425
20,20,0.0,0.0,0,2,2000000,2000002.3521505375,2000002.3521505375,2000002.4033505549,2000002.5576715425
21,21,0.0,0.0,0,2,2100000,2100002.3521505375,2100002.3521505375,2100002.403350555,2100002.5576715427
22,22,0.0,0.0,0,2,2200000,2200002.3521505375,2200002.3521505375,2200002.403350555,2200002.5576715427
23,23,0.0,0.0,0,2,2300000,2300002.3521505375,2300002.3521505375,2300002.403350555,2300002.5576715427
24,24,0.0,0.0,0,2,2400000,2400002.3521505375,2400002.3521505375,2400002.403350555,2400002.5576715427
25,25,0.0,0.0,0,2,2500000,2500002.3521505375,2500002.3521505375,2500002.403350555,2500002.5576715427
26,26,0.0,0.0,0,2,2600000,2600002.3521505375,2600002.3521505375,2600002.403350555,2600002.5576715427
27,27,0.0,0.0,0,2,2700000,2700002.3521505375,2700002.3521505375,2700002.403350555,2700002.5576715427
28,28,0.0,0.0,0,2,2800000,2800002.3521505375,2800002.3521505375,2800002.403350555,2800002.5576715427
29,29,0.0,0.0,0,2,2900000,2900002.3521505375,2900002.3521505375,2900002.403350555,2900002.5576715427
30,30,0.0,0.0,0,2,3000000,3000002.3521505375,3000002.3521505375,3000002.403350555,3000002.5576715427
31,31,0.0,0.0,0,2,3100000,3100002.3521505375,3100002.3521505375,3100002.403350555,3100002.5576715427
32,32,0.0,0.0,0,2,3200000,3200002.3521505375,3200002.3521505375,3200002.403350555,3200002.5576715427
33,33,0.0,0.0,0,2,3300000,3300002.3521505375,3300002.3521505375,3300002.403350555,3300002.5576715427
34,34,0.0,0.0,0,2,3400000,3400002.3521505375,3400002.3521505375,3400002.403350555,3400002.5576715427
35,35,0.0,0.0,0,2,3500000,3500002.3521505375,3500002.3521505375,3500002.403350555,3500002.5576715427
36,36,0.0,0.0,0,2,3600000,3600002.3521505375,3600002.3521505375,3600002.403350555,3600002.5576715427
37,37,0.0,0.0,0,2,3700000,3700002.3521505375,3700002.3521505375,3700002.403350555,3700002.5576715427
38,38,0.0,0.0,0,2,3800000,3800002.3521505375,3800002.3521505375,3800002.403350555,3800002.5576715427
39,39,0.0,0.0,0,2,3900000,3900002.3521505375,3900002.3521505375,3900002.403350555,3900002.5576715427
40,40,0.0,0.0,0,2,4000000,4000002.3521505375,4000002.3521505375,4000002.403350555,4000002.5576715427
41,41,0.0,0.0,0,2,4100000,4100002.3521505375,4100002.3521505375,4100002.403350555,4100002.5576715427
42,42,0.0,0.0,0,2,4200000,4200002.352150538,4200002.352150538,4200002.403350555,4200002.557671543
43,43,0.0,0.0,0,2,4300000,4300002.352150538,4300002.352150538,4300002.403350555,4300002.557671543
44,44,0.0,0.0,0,2,4400000,4400002.352150538,4400002.352150538,4400002.403350555,4400002.557671543
45,45,0.0,0.0,0,2,4500000,4500002.352150538,4500002.352150538,4500002.403350555,4500002.557671543
46,46,0.0,0.0,0,2,4600000,4600002.352150538,4600002.352150538,4600002.403350555,4600002.557671543
47,47,0.0,0.0,0,2,4700000,4700002.352150538,4700002.352150538,4700002.403350555,4700002.557671543
48,48,0.0,0.0,0,2,4800000,4800002.352150538,4800002.352150538,4800002.403350555,4800002.557671543
49,49,0.0,0.0,0,2,4900000,4900002.352150538,4900002.352150538,4900002.403350555,4900002.557671543
50,50,0.0,0.0,0,2,5000000,5000002.352150538,5000002.352150538,5000002.403350555,5000002.557671543
51,51,0.0,0.0,0,2,5100000,5100002.352150538,5100002.352150538,5100002.403350555,5100002.557671543
52,52,0.0,0.0,0,2,5200000,5200002.352150538,5200002.352150538,5200002.403350555,5200002.557671543
53,53,0.0,0.0,0,2,5300000,5300002.352150538,5300002.352150538,5300002.403350555,5300002.557671543
54,54,0.0,0.0,0,2,5400000,5400002.352150538,5400002.352150538,5400002.403350555,5400002.557671543
55,55,0.0,0.0,0,2,5500000,5500002.352150538,5500002.352150538,5500002.403350555,5500002.557671543
56,56,0.0,0.0,0,2,5600000,5600002.352150538,5600002.352150538,5600002.403350555,5600002.557671543
57,57,0.0,0.0,0,2,5700000,5700002.352150538,5700002.352150538,5700002.403350555,5700002.557671543
58,58,0.0,0.0,0,2,5800000,5800002.352150538,5800002.352150538,5800002.403350555,5800002.557671543
59,59,0.0,0.0,0,2,5900000,5900002.352150538,5900002.352150538,5900002.403350555,5900002.557671543
60,60,0.0,0.0,0,2,6000000,6000002.352150538,6000002.352150538,6000002.403350555,6000002.557671543
61,61,0.0,0.0,0,2,6100000,6100002.352150538,6100002.352150538,6100002.403350555,6100002.557671543
62,62,0.0,0.0,0,2,6200000,6200002.352150538,6200002.352150538,6200002.403350555,6200002.557671543
63,63,0.0,0.0,0,2,6300000,6300002.352150538,6300002.352150538,6300002.403350555,6300002.557671543
64,64,0.0,0.0,0,2,6400000,6400002.352150538,6400002.352150538,6400002.403350555,6400002.557671543
65,65,0.0,0.0,0,2,6500000,6500002.352150538,6500002.352150538,6500002.403350555,6500002.557671543
66,66,0.0,0.0,0,2,6600000,6600002.352150538,6600002.352150538,6600002.403350555,6600002.557671543
67,67,0.0,0.0,0,2,6700000,6700002.352150538,6700002.352150538,6700002.403350555,6700002.557671543
68,68,0.0,0.0,0,2,6800000,6800002.352150538,6800002.352150538,6800002.403350555,6800002.557671543
69,69,0.0,0.0,0,2,6900000,6900002.352150538,6900002.352150538,6900002.403350555,6900002.557671543
70,70,0.0,0.0,0,2,7000000,7000002.352150538,7000002.352150538,7000002.403350555,7000002.557671543
71,71,0.0,0.0,0,2,7100000,7100002.352150538,7100002.352150538,7100002.403350555,7100002.557671543
72,72,0.0,0.0,0,2,7200000,7200002.352150538,7200002.352150538,7200002.403350555,7200002.557671543
73,73,0.0,0.0,0,2,7300000,7300002.352150538,7300002.352150538,7300002.403350555,7300002.557671543
74,74,0.0,0.0,0,2,7400000,7400002.352150538,7400002.352150538,7400002.403350555,7400002.557671543
75,75,0.0,0.0,0,2,7500000,7500002.352150538,7500002.352150538,7500002.403350555,7500002.557671543
76,76,0.0,0.0,0,2,7600000,7600002.352150538,7600002.352150538,7600002.403350555,7600002.557671543
77,77,0.0,0.0,0,2,7700000,7700002.352150538,7700002.352150538,7700002.403350555,7700002.557671543
78,78,0.0,0.0,0,2,7800000,7800002.352150538,7800002.352150538,7800002.403350555,7800002.557671543
79,79,0.0,0.0,0,2,7900000,7900002.352150538,7900002.352150538,7900002.403350555,7900002.557671543
80,80,0.0,0.0,0,2,8000000,8000002.352150538,8000002.352150538,8000002.403350555,8000002.557671543
81,81,0.0,0.0,0,2,8100000,8100002.352150538,8100002.352150538,8100002.403350555,8100002.557671543
82,82,0.0,0.0,0,2,8200000,8200002.352150538,8200002.352150538,8200002.403350555,8200002.557671543
83,83,0.0,0.0,0,2,8300000,8300002.352150538,8300002.352150538,8300002.403350555,8300002.557671543
84,84,0.0,0.0,0,2,8400000,8400002.352150537,8400002.352150537,8400002.403350554,8400002.557671541
85,85,0.0,0.0,0,2,8500000,8500002.352150537,8500002.352150537,8500002.403350554,8500002.557671541
86,86,0.0,0.0,0,2,8600000,8600002.352150537,8600002.352150537,8600002.403350554,8600002.557671541
87,87,0.0,0.0,0,2,8700000,8700002.352150537,8700002.352150537,8700002.403350554,8700002.557671541
88,88,0.0,0.0,0,2,8800000,8800002.352150537,8800002.352150537,8800002.403350554,8800002.557671541
89,89,0.0,0.0,0,2,8900000,8900002.352150537,8900002.352150537,8900002.403350554,8900002.557671541
90,90,0.0,0.0,0,2,9000000,9000002.352150537,9000002.352150537,9000002.403350554,9000002.557671541
91,91,0.0,0.0,0,2,9100000,9100002.352150537,9100002.352150537,9100002.403350554,9100002.557671541
